Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,70.71000000000001,70.71000000000001,screen dark,26.054867250000004
0,70.71000000000001,70.71000000000001,wifi running,2.4522228000000004
9.208,12.367,3.1590000000000007,audio,0.5066878050000001
19.055,21.614,2.559000000000001,audio,0.41045080500000014
23.42,25.974,2.5539999999999985,audio,0.4096488299999997
26.096,36.055,9.959,audio,1.5973738049999997
46.804,50.524,3.719999999999999,audio,0.5966693999999998
52.364,55.244,2.8800000000000026,audio,0.46193760000000034
61.297,64.056,2.7590000000000003,audio,0.442529805

