Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,71.012,71.012,screen dark,10.7883702784
0,4.061,4.061,wifi scan,0.7712001439999999
4.061,71.012,66.951,wifi running,0.14448025799999997
9.814,71.012,61.198,audio,10.56522272
9.814,12.702,2.888,audio,0.49858431999999997
21.008,71.012,50.004000000000005,audio,8.63269056
21.008,23.636,2.628,audio,0.45369792
25.726,71.012,45.286,audio,7.81817504
25.726,28.356,2.6300000000000026,audio,0.4540432000000004
28.655,71.012,42.357,audio,7.31251248
28.655,39.316,10.661000000000001,audio,1.84051504
41.055,71.012,29.957,audio,5.17177648
41.055,43.836,2.780999999999999,audio,0.48011183999999973
51.127,71.012,19.884999999999998,audio,3.4329463999999996
51.127,54.795,3.6679999999999993,audio,0.6332435199999998
56.582,71.012,14.43,audio,2.4911952
56.582,64.976,8.393999999999998,audio,1.4491401599999996
67.224,71.012,3.7879999999999967,audio,0.6539603199999994
67.224,69.675,2.4509999999999934,audio,0.42314063999999885
69.941,71.012,1.070999999999998,audio,0.18489743999999964

