Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,131.234,131.234,screen dark,19.877436550400002
0,23.571,23.571,wifi running,0.050713006500000005
23.571,28.356,4.785,wifi scan,0.9059536199999999
28.356,44.271,15.915,wifi running,0.0342411225
44.271,48.769,4.4979999999999976,wifi scan,0.8516153359999994
48.769,55.257,6.4879999999999995,wifi running,0.013958932
55.257,60.575,5.318000000000005,wifi scan,1.0068675760000008
60.575,131.234,70.659,wifi running,0.15202283850000003
24.805,131.234,106.429,audio,18.31855948
24.805,38.927,14.122,audio,2.43067864
57.579,131.234,73.655,audio,12.6774986
57.579,87.664,30.085,audio,5.1782302

