Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,130.49,130.49,screen dark,19.764746144000004
0,4.559,4.559,wifi running,0.009808688500000001
4.559,9.531,4.972,wifi scan,0.941358704
9.531,91.494,81.963,wifi radio,104.04260275499999
91.494,91.889,0.394999999999996,wifi running,0.0008498424999999916
91.889,130.49,38.60100000000001,wifi radio,48.999530385000014
6.305,130.49,124.185,audio,21.3747222
6.305,16.471,10.166,audio,1.74977192
6.305,130.49,124.185,video,69.46784715000001
6.305,16.471,10.166,video,5.686758740000001

